Time,CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.115658E+02,1.892289E+03,4.704972E-02,1.333851E-01,3.501658E+03,1.820069E+03,1.807249E-01,1.283457E-01,2.235185E+03,1.308894E+03,1.153601E-01,9.230441E-02,3.371300E+03,1.894159E+03,1.739970E-01,1.335715E-01,2.231826E+03,1.457772E+03,1.151868E-01,1.028046E-01
00:20:00,9.115588E+02,1.911384E+03,4.704936E-02,1.347309E-01,3.501651E+03,1.821245E+03,1.807245E-01,1.284303E-01,2.235180E+03,1.308997E+03,1.153599E-01,9.231249E-02,3.371292E+03,1.895776E+03,1.739966E-01,1.336872E-01,2.231821E+03,1.457010E+03,1.151865E-01,1.027518E-01
00:30:00,9.115519E+02,1.926956E+03,4.704900E-02,1.358284E-01,3.501644E+03,1.819905E+03,1.807241E-01,1.283368E-01,2.235176E+03,1.307247E+03,1.153597E-01,9.218959E-02,3.371284E+03,1.894775E+03,1.739962E-01,1.336176E-01,2.231816E+03,1.454239E+03,1.151863E-01,1.025568E-01
00:40:00,9.115450E+02,1.939693E+03,4.704865E-02,1.367260E-01,3.501637E+03,1.816603E+03,1.807238E-01,1.281046E-01,2.235171E+03,1.304070E+03,1.153594E-01,9.196574E-02,3.371276E+03,1.891737E+03,1.739958E-01,1.334040E-01,2.231811E+03,1.449931E+03,1.151860E-01,1.022532E-01
00:50:00,9.115382E+02,1.950157E+03,4.704830E-02,1.374634E-01,3.501630E+03,1.811776E+03,1.807234E-01,1.277645E-01,2.235167E+03,1.299778E+03,1.153592E-01,9.166310E-02,3.371268E+03,1.887114E+03,1.739954E-01,1.330783E-01,2.231806E+03,1.444425E+03,1.151858E-01,1.018650E-01
01:00:00,9.115315E+02,1.958778E+03,4.704795E-02,1.380709E-01,3.501624E+03,1.805738E+03,1.807231E-01,1.273388E-01,2.235163E+03,1.294613E+03,1.153590E-01,9.129875E-02,3.371260E+03,1.881238E+03,1.739949E-01,1.326641E-01,2.231801E+03,1.437985E+03,1.151855E-01,1.014108E-01
01:10:00,9.115328E+02,1.968097E+03,4.704802E-02,1.387276E-01,3.501627E+03,1.800664E+03,1.807233E-01,1.269810E-01,2.235165E+03,1.289920E+03,1.153591E-01,9.096769E-02,3.371263E+03,1.876277E+03,1.739951E-01,1.323142E-01,2.231804E+03,1.431975E+03,1.151856E-01,1.009868E-01
01:20:00,9.115340E+02,1.976238E+03,4.704808E-02,1.393013E-01,3.501630E+03,1.795141E+03,1.807234E-01,1.265915E-01,2.235167E+03,1.284865E+03,1.153592E-01,9.061108E-02,3.371267E+03,1.870827E+03,1.739953E-01,1.319299E-01,2.231806E+03,1.425581E+03,1.151857E-01,1.005357E-01
01:30:00,9.115352E+02,1.983397E+03,4.704814E-02,1.398057E-01,3.501634E+03,1.789335E+03,1.807236E-01,1.261820E-01,2.235169E+03,1.279580E+03,1.153593E-01,9.023825E-02,3.371270E+03,1.865065E+03,1.739955E-01,1.315235E-01,2.231808E+03,1.418922E+03,1.151859E-01,1.000660E-01
01:40:00,9.115364E+02,1.989744E+03,4.704821E-02,1.402529E-01,3.501637E+03,1.783392E+03,1.807238E-01,1.257628E-01,2.235171E+03,1.274162E+03,1.153594E-01,8.985610E-02,3.371273E+03,1.859130E+03,1.739956E-01,1.311049E-01,2.231810E+03,1.412083E+03,1.151860E-01,9.958360E-02
